"","ttext","date","isretweet","retweetcount","favoritecount","score","delivery","location","duplicate"
"29","Zomato claims food delivery biz across 300 cities; Swiggy formally launches Daily ","2019-06-03 12:38:10","FALSE","0","0","0","swiggy","delhi",FALSE
"30","swiggy_in team Lott Rahi he customer koh narendramodi ji ushe jrur dekhe","2019-06-03 12:14:26","FALSE","0","0","0","swiggy","delhi",FALSE
"31","The platform will include meal options from a mix of organised vendors like Homely, LunchlyFood , Fig , iDabba ","2019-06-03 11:49:38","FALSE","0","0","1","swiggy","delhi",FALSE
"32","Order number : 42630413919
Ordered at : 3:16 pm , till now not received the food. SwiggyCares swiggy_in","2019-06-03 11:40:32","FALSE","0","0","0","swiggy","delhi",FALSE
"33","DhooDala swiggy_in Wow cool idea","2019-06-03 11:17:18","FALSE","0","0","2","swiggy","delhi",FALSE
"34","You don't have to crave for Gharkakhana anymore. SwiggyDaily  launched in Gurugram. Simple home-style meals at af ","2019-06-03 11:07:26","FALSE","0","1","0","swiggy","delhi",FALSE
"35","Health Benefits of Aloo.
Call Bharti  +91 9711733332
OrderZomato&amp;Swiggy.

noida noidafoodie noidastudents ","2019-06-03 11:02:37","FALSE","0","0","1","swiggy","delhi",FALSE
"36","swiggy
We deal in nUtraceuticals and need a delivery partner for door deliveries in NEW DELHI &amp; NCR and Hyderabad. ","2019-06-03 11:01:01","FALSE","0","0","0","swiggy","delhi",FALSE
"37","Refund not initiated even after assurance . Now customer executive saying they can't refund as their policy don't a ","2019-06-03 10:56:30","FALSE","0","0","3","swiggy","delhi",FALSE
"38","Don't like office canteen food? 

Get simple and affordable home-style meals delivered at work daily

SwiggyDaily ","2019-06-03 10:51:20","FALSE","0","2","3","swiggy","delhi",FALSE
"39","RT entrackr: Zomato expands food delivery biz across 300 cities: It had set a target of 500 Indian cities by October 2019
ZomatoIN deepi","2019-06-03 10:49:10","TRUE","3","0","0","swiggy","delhi",TRUE
"40","Swiggy launches new service SwiggyDaily for everyday homestyle meals
swiggy_in
 ","2019-06-03 10:43:14","FALSE","0","0","0","swiggy","delhi",FALSE
"41","ZomatoIN swiggy UberEats_IND hey guys it is so hot in northern India, temperature is almost touching 46 degress ","2019-06-03 10:40:51","FALSE","0","0","1","swiggy","delhi",FALSE
"42","Zomato expands food delivery biz across 300 cities: It had set a target of 500 Indian cities by October 2019 ","2019-06-03 10:37:33","FALSE","3","11","0","swiggy","delhi",FALSE
"43","RT YourStoryCo: Bengaluru-based foodtech unicorn swiggy_in has launched Daily, a subscription-based homestyle meal ","2019-06-03 10:36:04","FALSE","0","0","0","swiggy","delhi",FALSE
"44","All is not well in the Uber world. In its first quarterly earnings report it reported that the commission earned b ","2019-06-03 10:25:09","FALSE","0","0","1","swiggy","delhi",FALSE
"45","RT jaivardhan88: Glad that entrackr exclusively broke this last month ","2019-06-03 10:23:56","TRUE","3","0","0","swiggy","delhi",FALSE
"46","Alok_Jain anujrathi harshamjty nandanreddy swiggy_in Yumist 2.0..","2019-06-03 10:19:58","FALSE","0","0","0","swiggy","delhi",FALSE
"47","RT jaivardhan88: Glad that entrackr exclusively broke this last month ","2019-06-03 10:19:22","TRUE","3","0","0","swiggy","delhi",TRUE
"48","RT jaivardhan88: Glad that entrackr exclusively broke this last month ","2019-06-03 10:19:10","TRUE","3","0","0","swiggy","delhi",TRUE
"49","Glad that entrackr exclusively broke this last month ","2019-06-03 10:17:43","FALSE","3","7","0","swiggy","delhi",FALSE
"50","DelhiMetro Hire delivery girls instead of boys in Delhi. Cost effective for company women empowerment for Govt.swiggy_in ZomatoIN","2019-06-03 10:03:42","FALSE","0","1","2","swiggy","delhi",FALSE
"51","ETRetail | Swiggy launches 'Daily' app for homestyle meals ","2019-06-03 09:30:04","FALSE","0","2","0","swiggy","delhi",FALSE
"52","zomatocare swiggy_in foodpandaIndia UberEats_IND SwiggyCares ZomatoIN 
Thankyou guys. ","2019-06-03 09:24:33","FALSE","0","0","0","swiggy","delhi",FALSE
"53","Swiggy launches Swiggy Daily app that lets you book meals in advance ","2019-06-03 09:21:16","FALSE","0","2","0","swiggy","delhi",FALSE
"54","Swiggy launches 'Daily' app for homestyle meals

","2019-06-03 09:18:04","FALSE","0","0","0","swiggy","delhi",FALSE
"55","swiggy_in Whats wrong? Why is every restaurant unserviceable? :/","2019-06-03 08:59:09","FALSE","0","0","-1","swiggy","delhi",FALSE
"56","Homegrown food delivery start-up Swiggy launched ""SwiggyDaily"", an app to give consumers access to a variety of ","2019-06-03 08:45:21","FALSE","0","0","1","swiggy","delhi",FALSE
"57","Kudos to Rohan (from Customer Relation Team) swiggy_in Great Skills!! He has assured us for the compensations. Tha ","2019-06-03 08:25:05","FALSE","1","0","2","swiggy","delhi",FALSE
"58","SwiggyCares swiggy_in item se jyda too service charge haiii??? ","2019-06-03 08:16:16","FALSE","0","0","0","swiggy","delhi",FALSE
"59","SwiggyDaily SwiggyCares WeAreSwiggy swiggy_in Not able to send messages... ","2019-06-03 08:14:33","FALSE","0","0","0","swiggy","delhi",FALSE
"60","SwiggyCares swiggy_in  your services are worsen day by day. FYI unsatisfied customer","2019-06-03 08:14:04","FALSE","0","0","-1","swiggy","delhi",FALSE
"61","swiggy_in SwiggyCares ...order given to swiigy received with tags of Zomato ...great colab ","2019-06-03 08:13:09","FALSE","0","0","1","swiggy","delhi",FALSE
"62","SwiggyCares Pathetic services by Swiggy. Had ordered food 1Hr 50 mins back &amp; the delivery guy is unreachable. Cust ","2019-06-03 08:10:46","FALSE","0","0","-2","swiggy","delhi",FALSE
"63","and food from swiggy_in The amount of plastics these companies have used to fulfil my orders is horrible. For ","2019-06-03 07:07:31","FALSE","0","0","-1","swiggy","delhi",FALSE
"64","When I switch the button from second floor and door opens at ground floor.

Swiggy delivery guy: ","2019-06-03 06:49:49","FALSE","0","5","0","swiggy","delhi",FALSE
"65","Found a hair in my swiggy_in order. Really shoddy work. ","2019-06-03 06:39:01","FALSE","0","0","0","swiggy","delhi",FALSE
"66","swiggy_in Do they find hair in their biryani?  I got a hair in my food today. Really shodddy work swiggy_in ","2019-06-03 06:33:12","FALSE","0","0","1","swiggy","delhi",FALSE
"67","Best food :

Ubereat 
Swiggy 
Food panda 
Zomato 

Maa","2019-06-03 06:26:24","FALSE","0","4","1","swiggy","delhi",FALSE
"68","RT amitranjan: AMayankRGupta amazonprimenow swiggy_in Many folk wont agree with u. Foodtech has advantageous, but misses out on psycho-","2019-06-03 06:01:50","TRUE","3","0","0","swiggy","delhi",FALSE
"69","Mela baby thana that   Nhii. swiggy se bhijwa do ","2019-06-03 05:53:53","FALSE","0","0","0","swiggy","delhi",FALSE
"70","swiggy_in SwiggyCares WeAreSwiggy nandanreddy
Fraud Transaction was done by swiggy amount of Rs 26,494/- Transa ","2019-06-03 05:29:36","FALSE","0","0","0","swiggy","delhi",FALSE
"71","LiveFromALounge Even the partner merchant 10x offer of Swiggy, uber etc gone?","2019-06-03 05:06:52","FALSE","0","0","0","swiggy","delhi",FALSE
"72","kushkatakia What will be the effect of Zomato charging more for delivery or for restaurant ads? Can people go back ","2019-06-03 04:59:46","FALSE","0","0","0","swiggy","delhi",FALSE
"73","swiggy_in 42563074282 Ordered yesterday, there is an overcharging. GST charged twice, Bikanerwala bill is 956 rs ","2019-06-03 04:23:38","FALSE","0","0","0","swiggy","delhi",FALSE
"74","Me after placing order at swiggy_in ","2019-06-03 04:20:47","FALSE","0","0","0","swiggy","delhi",FALSE
"75","swiggy_in vsbhatia nandanreddy Feedback on ordr42484669847. Marked delivrd w/o being delivrd. placed new order. ","2019-06-03 04:07:30","FALSE","0","0","0","swiggy","delhi",FALSE
"76","Repeatedly SWIGGY and its customer service wasted my time for more than an our whr dlry time was 30-35 min and canc ","2019-06-03 03:49:20","FALSE","0","3","-1","swiggy","delhi",FALSE
"77","ICICIBank_Care I have made a purchase transaction on swiggy through icici pocket 
On 21st June 2019
Still I have not received my cashback","2019-06-03 02:32:12","FALSE","0","0","1","swiggy","delhi",FALSE
"78","RT lives_ca: The only girl which has ever asked me to stay with her is

The customer care girl of Swiggy","2019-06-03 02:30:41","TRUE","1","0","0","swiggy","delhi",FALSE
"79","Again I am telling you, if there would be no compensations na, I'll myself stop using swiggy_in and make atleast 1 ","2019-06-02 22:55:54","FALSE","0","0","-1","swiggy","delhi",FALSE
"80","Coming to prob: From a shitty restaurant ""BS Gulati's Punjabi swad"" I ordered a pineapple raita &amp; received a boondi ","2019-06-02 22:52:59","FALSE","0","0","-1","swiggy","delhi",FALSE
"81","swiggy_in Your T&amp;C says that u can't share the restaurant contact number? When u can't help with the food delivere ","2019-06-02 22:33:38","FALSE","0","0","0","swiggy","delhi",FALSE
"82","You think customer is a donkey or what are you think of yourselves if you are an establish brand in market? ","2019-06-02 22:28:10","FALSE","0","1","0","swiggy","delhi",FALSE
"83","HDFCBank_Cares My refund is not yet credited to my bank account initiated by swiggy.","2019-06-02 21:47:12","FALSE","0","0","1","swiggy","delhi",FALSE
"84","PizzaHutIN Tried your Pizza after such a long time. Tasteless. I
Ordered cheese maxx yet almost no cheese. Thanks ","2019-06-02 20:48:05","FALSE","0","0","-1","swiggy","delhi",FALSE
"85","DhooDala Subytweets swiggy_in I offer them nimbu pani or roohafza and sometimes chilled beer","2019-06-02 20:22:57","FALSE","0","1","0","swiggy","delhi",FALSE
"86","sony_shubh swiggy_in SwiggyCares The wonderful thing is you can only ise this coupon at places where other coupo ","2019-06-02 19:14:57","FALSE","0","0","1","swiggy","delhi",FALSE
"87","The only girl which has ever asked me to stay with her is

The customer care girl of Swiggy","2019-06-02 19:12:31","FALSE","1","1","0","swiggy","delhi",FALSE
"88","Pagal_aurat Tomorrow I will be in the future of a Sun and SWIGGy and SWIGGy and SWIGGy and SWIGGy and SWIGGy and S ","2019-06-02 19:03:22","FALSE","0","0","0","swiggy","delhi",FALSE
"89","zomatocare 1675101261 also check the pathetic customer support you gave to in regards to this support! ","2019-06-02 18:52:44","FALSE","0","0","1","swiggy","delhi",FALSE
"90","Finally Deleted Zomato and swiggy_in 

Thanks for making me do this. ZomatoIN zomatocare SwiggyCares","2019-06-02 18:38:47","FALSE","0","0","0","swiggy","delhi",FALSE
"91","ZomatoIN deepigoyal : of all this investment that you get why dont u invest some part of it in your support?!

If ","2019-06-02 18:28:23","FALSE","0","0","0","swiggy","delhi",FALSE
"92","SwiggyCares You have the order number, why do you need DM?  swiggy_in","2019-06-02 18:21:37","FALSE","0","0","0","swiggy","delhi",FALSE
"93","swiggy_in if you cannot deliver please dont take take order &amp; remove your tag line. SayNoToSwiggy ","2019-06-02 18:16:08","FALSE","0","0","0","swiggy","delhi",FALSE
"94","Dear SwiggyCares, what's your obligation towards delayed orders? My order 42563375990 reached me 58 minutes of my ","2019-06-02 17:55:21","FALSE","0","0","-1","swiggy","delhi",FALSE
"95","swiggy such a bad and horrible experience, guests left waiting for food, u guys delvrd only half d order and then ","2019-06-02 17:52:11","FALSE","0","1","-2","swiggy","delhi",FALSE
"96","faasos swiggy_in Really horrible and inhumane of them in this heat. I ordered once again just to check and they h ","2019-06-02 17:41:51","FALSE","0","0","-2","swiggy","delhi",FALSE
"97","faasos Had a horrible experience with your Kalkaji outlet in Delhi. Ordered using swiggy_in and these guys kept t ","2019-06-02 17:38:22","FALSE","0","0","-1","swiggy","delhi",FALSE
"98","In the era of swiggy and Zomato,
Someone who cooks for you is a blessing ","2019-06-02 17:36:29","FALSE","0","0","1","swiggy","delhi",FALSE
"99","mridul1206 harshamjty SwiggyCares True there food may be good but the services made me uninstall the app. swiggy_in","2019-06-02 17:29:10","FALSE","0","0","1","swiggy","delhi",FALSE
"100","Thanks for Complementary Sample swiggy_in. 15% Long Leaves? Will Try and Check out the Taste TGBL ","2019-06-02 17:19:48","FALSE","0","4","1","swiggy","delhi",FALSE
"101","DhooDala swiggy_in Thanks for the inspiration","2019-06-02 17:08:13","FALSE","0","2","1","swiggy","delhi",FALSE
"102","This is Swiggy...","2019-06-02 16:57:20","FALSE","0","0","0","swiggy","delhi",FALSE
"103","zomatocare deepigoyal Just to let you know, Swiggy is a much better platform, you guys have lost it. Need to understand better... call me","2019-06-02 16:49:06","FALSE","0","0","1","swiggy","delhi",FALSE
"104","DhooDala swiggy_in Sandhyaji, People like you have truly made this world. Salute you !","2019-06-02 16:47:25","FALSE","0","1","2","swiggy","delhi",FALSE
"105","Successfully completed 1 month without Swiggy &amp; Zomato delivery after learning to cook. Not only is the food qualit ","2019-06-02 16:45:06","FALSE","0","0","1","swiggy","delhi",FALSE
"106","swiggy_in SwiggyCares your delivery boys are acting notorious again. Marked the order delivered without deliverin ","2019-06-02 16:42:35","FALSE","0","0","-1","swiggy","delhi",FALSE
"107","Swiggy what is this ","2019-06-02 16:41:12","FALSE","0","0","0","swiggy","delhi",FALSE
"108","swiggy_in Your order 42564687208 has been delivered. Thanks for using Swiggy. You can now use GooglePay to pay on ","2019-06-02 16:39:12","FALSE","0","0","0","swiggy","delhi",FALSE
"109","ZomatoIN swiggy_in SwiggyCares They should merge then. No point in disappointing customers. TanmayPandey ","2019-06-02 16:32:52","FALSE","0","0","-2","swiggy","delhi",FALSE
"110","swiggy_in wow in between I got a message about my delivered ordered which never happened. I guess it's time to swi ","2019-06-02 16:31:27","FALSE","0","0","0","swiggy","delhi",FALSE
"111","avanish1488 swiggy_in They do it on purpose. They are supporting ZomatoIN","2019-06-02 16:29:52","FALSE","0","1","1","swiggy","delhi",FALSE
"112","swiggy_in this is second incident wherein you guys have cancelled order after more than 1 hour of waiting. Why y ","2019-06-02 16:28:38","FALSE","0","2","-1","swiggy","delhi",FALSE
"113","swiggy_in I got a call from Swiggy call centre my order if delivery boy called me for my order...after 10 minutes ","2019-06-02 16:26:53","FALSE","0","1","0","swiggy","delhi",FALSE
"114","swiggy_in SwiggyCares  Over 40 minutes since order was placed and the Delivery Executive hasn't reached the resta ","2019-06-02 16:18:33","FALSE","0","0","0","swiggy","delhi",FALSE
"115","SwiggyCares  what an experience  such pathetic chat wow i mean now while talking to you guys we will leave all ou ","2019-06-02 16:05:39","FALSE","0","0","0","swiggy","delhi",FALSE
"116","Really bad experience with swiggy . They failed to deliver it in 2 hours and when asked they always ask us to canc ","2019-06-02 15:57:05","FALSE","0","0","-2","swiggy","delhi",FALSE
"117","amitgeorge swiggy_in No resolution as yet. And just when I thought it was a one off thing, SwiggyCares does it a ","2019-06-02 15:56:52","FALSE","0","0","-1","swiggy","delhi",FALSE
"118",". SwiggyCares swiggy_in they're not replying anymore on the help chat.","2019-06-02 15:52:07","FALSE","0","0","0","swiggy","delhi",FALSE
"119","Zomato ZomatoIN zomatocare worst experience ever, I have been getting told from a week that your 90 credits wil ","2019-06-02 15:43:13","FALSE","0","0","-1","swiggy","delhi",FALSE
"120","abhijitmajumder Just decided to quell my hunger before retiring for the day with just chilled water...now this. Now I have to swiggy it","2019-06-02 15:30:35","FALSE","0","1","0","swiggy","delhi",FALSE
"121","swiggy_in SwiggyCares
Please reply...","2019-06-02 15:23:10","FALSE","0","0","0","swiggy","delhi",FALSE
"122","SwiggyCares 
Kindly help me...
I have an issue with my last transaction...
I paid for my swiggy order and amount a ","2019-06-02 15:21:00","FALSE","0","0","0","swiggy","delhi",FALSE
"123","swiggy_in third time oder not delivered. And oder just near restaurant. deliveryverypoor, donottakeorder","2019-06-02 15:11:19","FALSE","0","0","0","swiggy","delhi",FALSE
"124","SwiggyCares 
Very bad experience with swiggy","2019-06-02 15:03:08","FALSE","0","0","-1","swiggy","delhi",FALSE
"125","SinhaSaahab_ KFC_India Via Zamato or Swiggy","2019-06-02 14:40:21","FALSE","0","1","0","swiggy","delhi",FALSE
"126","This how swiggy customer care executives deal with problems. Lying and then not giving solution!! swiggy_in ","2019-06-02 13:58:41","FALSE","0","1","-2","swiggy","delhi",FALSE
"127","To prove that your claims are false, I made an order on swiggy, specifically mentioning that I don't need any cutle ","2019-06-02 13:12:52","FALSE","0","0","-1","swiggy","delhi",FALSE
"128","shay_vasaya swiggy. ?","2019-06-02 13:03:20","FALSE","0","0","0","swiggy","delhi",FALSE
"129","SwiggyCares Dear,May i Kwn What you replied on DM? ficci_india swiggy_in jagograhakjago","2019-06-02 12:55:13","FALSE","0","0","0","swiggy","delhi",FALSE
"130","If Ordering frm DunzoIt Zomato swiggy_in UberEats plz try 2 b polite nd helpful to dlvry guys in this 45+ dgre ","2019-06-02 12:48:41","FALSE","0","13","2","swiggy","delhi",FALSE
"131","swiggy_in SwiggyCares yesterday my special instructions are not followed on the order &amp; regarding this representa ","2019-06-02 12:41:57","FALSE","0","0","0","swiggy","delhi",FALSE
"132","RT the_nishant01: Kindly justify the price lists SwiggyCares swiggy_in ","2019-06-02 12:39:07","TRUE","1","0","1","swiggy","delhi",FALSE
"133","Kindly justify the price lists SwiggyCares swiggy_in ","2019-06-02 12:27:55","FALSE","1","1","1","swiggy","delhi",FALSE
"134","SwiggyCares ,My order number is 42548124922. As swiggy pop Delivers food cheap now they started to deliver smelly ","2019-06-02 12:12:54","FALSE","0","0","-2","swiggy","delhi",FALSE
"135","Hi swiggy_in ,My order number is 42548124922. As swiggy pop Delivers food cheap now they started to deliver smell ","2019-06-02 12:11:13","FALSE","0","0","-2","swiggy","delhi",FALSE
"136","Gauravjoshi0008 swiggy_in SwiggyCares Boycott SwiggyCares uninstall its app","2019-06-02 12:00:54","FALSE","0","0","-1","swiggy","delhi",FALSE
"137","SwiggyCares swiggy_in rate difference between two order ","2019-06-02 11:45:24","FALSE","0","0","0","swiggy","delhi",FALSE
"138","Do Not Let the ShadowsOf YesterdaySpoil Your Sun Shine Today
Happy Sunday
Call Bharti  +91 9711733332
OrderZomato ","2019-06-02 11:00:49","FALSE","0","0","1","swiggy","delhi",FALSE
"139","Delivered stale food and then when you approach them to give you resolution, your chat representative refuse to hel ","2019-06-02 10:49:07","FALSE","0","2","-2","swiggy","delhi",FALSE
"140","I  found hairstrand in my food while i was eating , which can lead to my health issues so all my food is wasted i d ","2019-06-02 10:43:15","FALSE","0","4","-1","swiggy","delhi",FALSE
"141","swiggy_in it's almost been a week since I requested you to delete my account for some reasons. And this is your se ","2019-06-02 10:40:05","FALSE","0","0","0","swiggy","delhi",FALSE
"142","SwiggyCares  family ordered  BaskinRobbins Family pack ice cream and received inadequate quantity swiggy_in  Ord ","2019-06-02 10:37:06","FALSE","0","0","-1","swiggy","delhi",FALSE
"143","swiggy_in Please start your service in Firozabad u.p. 283203 we are waiting for your amazing service for food lovers...","2019-06-02 10:36:44","FALSE","0","0","1","swiggy","delhi",FALSE
"144","swiggy_in how does your delivery guy Prakash Kashyap ph 8638115847 has the audacity to argue with me or threaten m ","2019-06-02 10:31:09","FALSE","0","0","-2","swiggy","delhi",FALSE
"145","fssaiindia  SwiggyCares irvpaswan
Order food from swiggy and get a cockroach complementary.
They are playing wit ","2019-06-02 10:16:30","FALSE","0","0","0","swiggy","delhi",FALSE
"146","SimranK14287094 swiggy_in SwiggyCares Staple?","2019-06-02 10:11:55","FALSE","0","0","0","swiggy","delhi",FALSE
"147","SwiggyCares Again same standard responses. I just responded that delay was from your delivery channel partner and ","2019-06-02 10:00:20","FALSE","0","0","-1","swiggy","delhi",FALSE
"148","SwiggyCares One of the major pathetic experiences I have ever had with swiggy where no one is able to respond neit ","2019-06-02 09:48:33","FALSE","0","0","-2","swiggy","delhi",FALSE
"149","zomatocare ZomatoIN Zomato swiggy_in Will this issue be ever resolved?
Zomato ZomatoIN zomatocare ","2019-06-02 09:46:44","FALSE","0","0","-1","swiggy","delhi",FALSE
"150","Please be sure that this happens when you get a stale and third class food and complain over chat.
They will take m ","2019-06-02 09:41:13","FALSE","0","0","-2","swiggy","delhi",FALSE
"151","Dear swiggy_in SwiggyCares , If you can't even train your customer executives on how to handle the requests prope ","2019-06-02 09:38:06","FALSE","0","0","0","swiggy","delhi",FALSE
"152","SwiggyCares swiggy_in ... I ordered food from Swiggy. I was sent a Stale Chicken which was tasting sour and in th ","2019-06-02 09:34:03","FALSE","0","0","-2","swiggy","delhi",FALSE
"153","SwiggyCares very poor experience from swiggy.. I think some one  should held responsible for these unethical and poor customer service.","2019-06-02 09:21:38","FALSE","0","0","-3","swiggy","delhi",FALSE
"154","swiggy_in very poor experience from swiggy.. I think some one  should held responsible for these unethical and poor customer service.","2019-06-02 09:20:46","FALSE","0","0","-3","swiggy","delhi",FALSE
"155","dominos_india I ordered pizzas via Swiggy on 5th May.. Paid for them.. For some reason restraunt rejected the orde ","2019-06-02 09:00:33","FALSE","0","0","-1","swiggy","delhi",FALSE
"156","Responsible?
ficci_india jagograhakjago swiggy_in","2019-06-02 08:52:17","FALSE","0","0","0","swiggy","delhi",FALSE
"157","biryanimahal in swiggy Mutton, Chicken and fish biryani appearing as Veg Meal. ","2019-06-02 08:48:41","FALSE","0","1","0","swiggy","delhi",FALSE
"158","SwiggyCares swiggy_in I am a super user and extremely happy with your service. However I am appalled by unnecessa ","2019-06-02 08:45:30","FALSE","0","0","1","swiggy","delhi",FALSE
"159","RT BriocheDoreeInd: Delightful French treats will now be served at home!

Order online from Swiggy

","2019-06-02 08:26:28","TRUE","2","0","1","swiggy","delhi",FALSE
"160","Zomato ZomatoIN You text them regarding change in  your order,they will respond you after your order gets deliver ","2019-06-02 08:17:22","FALSE","0","0","0","swiggy","delhi",FALSE
"161","SwiggyCares PaanWalaFlavour Great effort brother and you to swiggy","2019-06-02 08:14:33","FALSE","0","0","1","swiggy","delhi",FALSE
"162","swiggy_in SwiggyCares, dominos_india, swiggy and dominos, you guys have made me stuck in a loop for a refund for ","2019-06-02 07:44:45","FALSE","0","0","0","swiggy","delhi",FALSE
"163","Thankew Mohit swiggy_in SwiggyCares I appreciate how you took care of the issue properly Swiggy needs more people ","2019-06-02 07:29:43","FALSE","0","0","1","swiggy","delhi",FALSE
"164","swiggy_in yaar bhot garmi hai, dont force them to rush with orders, it is absolutely ok even if it is not deliver ","2019-06-02 07:05:58","FALSE","0","0","0","swiggy","delhi",FALSE
"165","deepigoyal vijayshekhar Zomato swiggy_in looking for temporary staff to  test out your new feature, hire a gigster.
Link in description.","2019-06-02 06:42:06","FALSE","0","0","0","swiggy","delhi",FALSE
"166","swiggy_in SwiggyCares i received a bad quality samosa and bread pakora after paying 209/-. Your BOT has offered m ","2019-06-02 06:30:16","FALSE","0","0","-1","swiggy","delhi",FALSE
"167","Brands, marketers need to be clear on 'why' they are creating women-centric messaging ","2019-06-02 06:25:46","FALSE","0","3","1","swiggy","delhi",FALSE
"168","Why kfc does not have their full menu on ZomatoIN and swiggy_in app?

I see this problem for delivery at area pi ","2019-06-02 06:24:44","FALSE","0","0","-1","swiggy","delhi",FALSE
"169","Register on Swiggy with C7GTDF and earn Rs. 100. Download on ","2019-06-02 06:18:35","FALSE","0","0","0","swiggy","delhi",FALSE
"170","SwiggyCares Thanks for responding however I have already closed down my Swiggy Account ","2019-06-02 05:34:47","FALSE","0","0","0","swiggy","delhi",FALSE
"171","I finally cancelled because his attitude wasn't customer friendly, of course he said Cancel the order, complain I d ","2019-06-02 05:34:09","FALSE","0","0","-1","swiggy","delhi",FALSE
